LF,Optimal_AR,Min_BOR,Cryogen
0.7012562814070351,0.4337337337337337,0.0014252068204259,LH2_rq03
0.7057788944723618,0.4335335335335335,0.0014165268510894,LH2_rq03
0.7103015075376884,0.4333333333333333,0.0014079571513786,LH2_rq03
0.714824120603015,0.4331331331331331,0.0013994956284288,LH2_rq03
0.7193467336683417,0.4329329329329329,0.0013911402420095,LH2_rq03
0.7238693467336683,0.4327327327327327,0.0013828890028765,LH2_rq03
0.7283919597989948,0.4325325325325325,0.0013747399711939,LH2_rq03
0.7329145728643215,0.4321321321321321,0.0013666912513254,LH2_rq03
0.7374371859296481,0.4319319319319319,0.0013587410014991,LH2_rq03
0.7419597989949748,0.4317317317317317,0.0013508874212375,LH2_rq03
0.7464824120603014,0.4315315315315315,0.0013431287536288,LH2_rq03
0.7510050251256281,0.4313313313313313,0.0013354632840826,LH2_rq03
0.7555276381909547,0.4311311311311311,0.0013278893390636,LH2_rq03
0.7600502512562813,0.4309309309309309,0.0013204052848697,LH2_rq03
0.764572864321608,0.4307307307307307,0.0013130095264544,LH2_rq03
0.7690954773869346,0.4305305305305306,0.0013057005062889,LH2_rq03
0.7736180904522613,0.4303303303303303,0.0012984767032678,LH2_rq03
0.7781407035175879,0.4301301301301301,0.0012913366316484,LH2_rq03
0.7826633165829145,0.4299299299299299,0.0012842788400299,LH2_rq03
0.7871859296482411,0.4297297297297297,0.0012773019103673,LH2_rq03
0.7917085427135677,0.4295295295295295,0.0012704044570179,LH2_rq03
0.7962311557788944,0.4293293293293293,0.0012635851258212,LH2_rq03
0.800753768844221,0.4291291291291291,0.0012568425932106,LH2_rq03
0.8052763819095476,0.4289289289289289,0.0012501755653533,LH2_rq03
0.8097989949748743,0.4287287287287287,0.0012435827773204,LH2_rq03
0.8143216080402009,0.4285285285285286,0.0012370629922847,LH2_rq03
0.8188442211055276,0.4283283283283283,0.001230615000744,LH2_rq03
0.8233668341708542,0.4281281281281281,0.001224237619771,LH2_rq03
0.8278894472361809,0.4279279279279279,0.0012179296922875,LH2_rq03
0.8324120603015075,0.4277277277277277,0.0012116900863616,LH2_rq03
0.8369346733668341,0.4275275275275275,0.0012055176945293,LH2_rq03
0.8414572864321607,0.4273273273273273,0.0011994114331363,LH2_rq03
0.8459798994974873,0.4271271271271271,0.0011933702417014,LH2_rq03
0.850502512562814,0.4269269269269269,0.0011873930823007,LH2_rq03
0.8550251256281406,0.4267267267267267,0.0011814789389717,LH2_rq03
0.8595477386934672,0.4265265265265265,0.0011756268171338,LH2_rq03
0.8640703517587939,0.4263263263263263,0.0011698357430304,LH2_rq03
0.8685929648241205,0.4261261261261261,0.0011641047631859,LH2_rq03
0.8731155778894472,0.4259259259259259,0.00115843294388,LH2_rq03
0.8776381909547738,0.4257257257257257,0.0011528193706395,LH2_rq03
0.8821608040201004,0.4255255255255255,0.0011472631477435,LH2_rq03
0.8866834170854271,0.4253253253253253,0.0011417633977447,LH2_rq03
0.8912060301507537,0.425125125125125,0.0011363192610052,LH2_rq03
0.8957286432160803,0.4249249249249249,0.001130929895244,LH2_rq03
0.9002512562814069,0.4247247247247247,0.0011255944750985,LH2_rq03
0.9047738693467337,0.4245245245245245,0.0011203121916965,LH2_rq03
0.9092964824120602,0.4243243243243243,0.0011150822522368,LH2_rq03
0.9138190954773868,0.4241241241241241,0.0011099038795773,LH2_rq03
0.9183417085427136,0.4239239239239238,0.001104776311825,LH2_rq03
0.92286432160804,0.4237237237237237,0.0010996988019181,LH2_rq03
0.9273869346733667,0.4235235235235235,0.0010946706171928,LH2_rq03
0.9319095477386934,0.4233233233233233,0.0010896910389022,LH2_rq03
0.93643216080402,0.4231231231231231,0.0010847593616473,LH2_rq03
0.9409547738693468,0.4229229229229229,0.0010798748926296,LH2_rq03
0.9454773869346732,0.4227227227227227,0.0010750369505518,LH2_rq03
0.95,0.4225225225225225,0.0010702448638181,LH2_rq03
0.05,2.550250250250251,0.0334667366277349,LH2_rq07
