Geometric_AR,BOR_LF_0.50,BOR_LF_0.55,BOR_LF_0.60,BOR_LF_0.65,BOR_LF_0.70,BOR_LF_0.75,BOR_LF_0.80,BOR_LF_0.85,BOR_LF_0.90,BOR_LF_0.95,Thermal_AR_LF_0.50,Thermal_AR_LF_0.55,Thermal_AR_LF_0.60,Thermal_AR_LF_0.65,Thermal_AR_LF_0.70,Thermal_AR_LF_0.75,Thermal_AR_LF_0.80,Thermal_AR_LF_0.85,Thermal_AR_LF_0.90,Thermal_AR_LF_0.95
0.5838383838383839,0.011706728631757455,0.010663033829530833,0.009793068613198777,0.00905674251388093,0.008425419452938206,0.007878099612460986,0.007399033104302331,0.006976175873549354,0.006600160300818056,0.00626359087751429,0.32676338334701494,0.3279192327438101,0.3290711200921088,0.3302190657288638,0.33136308985208074,0.33250321252200365,0.3336394536622868,0.3347718330611554,0.3359003703725544,0.3370250851172858
0.6222222222222222,0.01146018908161075,0.010439447659630606,0.00958859554939282,0.008868428620213056,0.00825094388726688,0.007715605797000263,0.0072470126554821076,0.0068333866702534485,0.006465567311535843,0.0061363225593663515,0.34092655715188175,0.3421070475689701,0.3432833167082906,0.34445538717153024,0.34562328139931076,0.3467870216726206,0.3479466301142323,0.3491021286901038,0.35025353921076563,0.3514008833326934
0.6606060606060606,0.011242423486376545,0.010242001745280243,0.009408068171479099,0.008702203639414825,0.008096965876960708,0.007572230515117544,0.00711290424403876,0.006707445090424998,0.006346875935757526,0.006024109555070592,0.35450643486826455,0.35570856885915875,0.35690623358843887,0.3580994539334128,0.3592882545870972,0.3604726600599209,0.36165269468140954,0.3628283826018511,0.36399974779394395,0.3651668140544258
0.698989898989899,0.0110490051425865,0.010066673289600798,0.009247800275618867,0.008554666180659788,0.007960328159561368,0.0074450280847066464,0.006993947322684588,0.006595753942676605,0.006241634188678724,0.005924629802571497,0.36753831038096835,0.36875938989298196,0.3699757634693215,0.3711874582620744,0.3723945012148483,0.3735969190647675,0.3747947383444475,0.37598798538394657,0.37717668631269496,0.3783608670614025
0.7373737373737375,0.01087637524601415,0.009910228293807817,0.009104828536825418,0.008423081952678395,0.007838492759995869,0.0073316306725942654,0.0068879229332783265,0.006496225629783955,0.006147871238694708,0.005836016944926095,0.3800546876046836,0.3812922811247664,0.3825249432866088,0.38375270350609764,0.38497559096562706,0.3861936346164106,0.38740686318076595,0.3886153051543724,0.3898189888085023,0.3910179421922253
0.7757575757575759,0.010721638691670886,0.009770035958221424,0.008976742411147829,0.008305226782625366,0.007729395252598612,0.007230112300890856,0.006793026239710248,0.006407162205212324,0.006063984151823819,0.005756753058838008,0.3920855506708036,0.3933374644304359,0.3945842325085056,0.39582588656502243,0.39706245800080053,0.39829397796010485,0.3995204773332665,0.4007419867592651,0.40195853662828035,0.4031701570842122
0.8141414141414142,0.010582415245093383,0.009643933412260405,0.00886156016484938,0.008199272206347226,0.007631338546818671,0.007138889735623049,0.006707773631784863,0.006327167961224618,0.005988655354851787,0.005685590479834912,0.40365860333933934,0.4049228560173352,0.406181759566401,0.4074353478635969,0.40868365450051924,0.4099267127863008,0.41116455575057376,0.4123972161463951,0.4136247264531352,0.4148471188793311
0.8525252525252526,0.010456729254368533,0.009530125475192299,0.008757637009306995,0.008103700689290373,0.007542914182029791,0.007056649045751628,0.006630933890575411,0.006255084658793045,0.005920791478316576,0.005621493878129112,0.4147994816434897,0.41607428209142017,0.4173435405629708,0.41860729311894596,0.4198655755079705,0.4211184231698609,0.422365871238953,0.42360795454738565,0.4248447076283432,0.4260761647192563
0.890909090909091,0.010342926693691046,0.00942710925905503,0.008663596003564755,0.008017241859668723,0.007462943129934475,0.006982290365714354,0.006561476416209612,0.006189942813065314,0.005859477360018788,0.0055635966941609116,0.42553194319033666,0.4268156707767609,0.42809367382507413,0.42936599054131735,0.43063265879229934,0.4318937161093532,0.43314919969204324,0.4343991464118231,0.4356435928156451,0.43688257512952217
0.9292929292929294,0.010239611917982241,0.009333616687176256,0.008578275376243198,0.007938823894901019,0.0073904306649972325,0.006914885785427074,0.0064985317600887785,0.006130924557043783,0.005803940981194452,0.005511167929187161,0.43587803605070874,0.4371692232801064,0.4384545133546259,0.4397339465827518,0.44100756290644644,0.44227540190530573,0.4435375028006599,0.4447939044596175,0.4460446453990554,0.447289763789555
