Geometric_AR,BOR_LF_0.05,BOR_LF_0.20,BOR_LF_0.35,BOR_LF_0.50,BOR_LF_0.65,BOR_LF_0.80,BOR_LF_0.95,Thermal_AR_LF_0.05,Thermal_AR_LF_0.20,Thermal_AR_LF_0.35,Thermal_AR_LF_0.50,Thermal_AR_LF_0.65,Thermal_AR_LF_0.80,Thermal_AR_LF_0.95
0.6720720720720721,0.053495449657788186,0.013554364202226,0.00784840213886484,0.005565818946047019,0.004336292832538224,0.003566920901810988,0.003038967298130024,0.7088984292979789,0.7122790633324502,0.7155820785071655,0.7188101176589431,0.7219657049901419,0.7250512526515243,0.7280690668915999
0.6738738738738739,0.053500816301083165,0.013555887180691228,0.007849375803857028,0.005566572437351813,0.004336926828067189,0.003567478420694159,0.0030394697569787743,0.709450803476376,0.7128276212909291,0.7161268488412904,0.7193511299790282,0.7225029897873795,0.7255848411763904,0.7285989910434141
0.6756756756756757,0.053506247597522094,0.013557426036313935,0.007850358377374689,0.005567332048823093,0.004337565441341229,0.0035680396184182284,0.0030399752553422754,0.7100010859548801,0.7133740921292072,0.7166695368883618,0.7198900650809225,0.7230382026543346,0.7261163632622614,0.7291268544361728
0.6774774774774774,0.05351174292999428,0.013558980616052763,0.007851349772674876,0.005568097720240139,0.004338208626423756,0.003568604457974134,0.003040483762309587,0.7105492885910314,0.7139184877349919,0.717210154563269,0.7204269349038467,0.7235713555518374,0.7266458308889785,0.7296526690662486
0.6792792792792793,0.05351730168809665,0.013560550768536683,0.007852349903962663,0.005568869392042597,0.004338856337882335,0.0035691729027628183,0.0030409952473176016,0.7110954231529195,0.714460819905888,0.7177487136901772,0.7209617512957044,0.7241024603488373,0.7271732559439658,0.7301764468370859
0.6810810810810811,0.05352292326804531,0.013562136344040132,0.00785335868637993,0.00556964700532081,0.004339508530784575,0.0035697449165875694,0.0030415096801357233,0.7116395013200244,0.7150011003502483,0.7182852260033868,0.7214945260139524,0.7246315288232813,0.7276986502231175,0.7306981995600987
0.6828828828828829,0.053528607072589995,0.0135637371944618,0.007854376035991262,0.005570430501808055,0.004340165160690135,0.003570320463650911,0.0030420270308680886,0.7121815346840504,0.715539340688018,0.7188197031481888,0.722025270726463,0.7251585726629871,0.7282220254316794,0.7312179389555593
0.6846846846846847,0.053534352510929084,0.013565353173305539,0.007855401869773737,0.005571219823873319,0.004340826183642399,0.0035708995085448336,0.0030425472699500133,0.7127215347497473,0.7160755524515654,0.7193521566817038,0.7225539970123754,0.7256836034665014,0.7287433931851158,0.7317356766534738
0.6864864864864865,0.05354015899862341,0.013566984135655491,0.007856436105602382,0.005572014914511647,0.004341491556166255,0.0035714820162510152,0.003043070368136669,0.7132595129357252,0.7166097470865065,0.7198825980737172,0.7230807163629369,0.7262066327439515,0.7292627650099699,0.7322514241944511
0.6882882882882883,0.053546025957518006,0.013568629938160659,0.007857478662242401,0.005572815717335811,0.004342161235258546,0.00357206795213183,0.003043596296505968,0.713795480575259,0.7171419359525192,0.7204110387075016,0.723605440182336,0.7267276719178861,0.7297801523447132,0.7327651930305595
