a,tau_rq_03_LF95,tau_rq_07_LF95,tau_rq_03_LF05,tau_rq_07_LF05
0.7396793587174348,20474.032820198096,47021.967650138184,427692.36515562935,982265.5231224989
0.7444889779559117,20429.848096252113,46920.49019924885,426769.36824270256,980145.7096318217
0.7492985971943887,20386.0423374048,46819.88310373927,425854.28772225126,978044.0774322542
0.7541082164328656,20342.609891936485,46720.13338351012,424947.0055326618,975960.3553759753
0.7589178356713426,20299.545227773466,46621.22833324859,424047.40611166524,973894.2780553191
0.7637274549098196,20256.842929216004,46523.15551491381,423155.3763279868,971845.5856457951
0.7685370741482965,20214.49769377576,46425.90275047338,422270.8054152823,969814.0237543628
0.7733466933867735,20172.50432911846,46329.45811488168,421393.5849082697,967799.3432727485
0.7781563126252504,20130.857750107334,46233.80992928981,420523.608580971,965801.3002356059
0.7829659318637274,20089.552975943865,46138.946754478726,419660.7723869817,963819.6556833365
0.7877755511022043,20048.58512740169,46044.85738450635,418804.974401689,961854.1755293832
0.7925851703406813,20007.94942415018,45951.53084056099,417956.11476636335,959904.6304318286
0.7973947895791582,19967.641182164432,45858.95636501273,417114.0956340533,957970.7956691323
0.8022044088176352,19927.65581121805,45767.123415655304,416278.82111721206,956052.4510198483
0.8070140280561122,19887.988812456013,45676.02166013176,415450.19723699515,954149.3806461771
0.8118236472945891,19848.635776044168,45585.64097053615,414628.1318741598,952261.372981199
0.8166332665330661,19809.592378892794,45495.971418185334,413812.53472151165,950388.2206196608
0.821442885771543,19770.85438245148,45407.003268554465,413003.3172378396,948529.7202121783
0.82625250501002,19732.4176305724,45318.72697636978,412200.39260328264,946685.6723627291
0.8310621242484969,19694.278047439835,45231.13318085334,411403.6756760771,944855.8815293168
0.8358717434869739,19656.431635563302,45144.212701113924,410613.08295063407,943040.1559276882
0.8406813627254508,19618.874473831987,45057.956531678756,409828.5325168989,941238.3074379954
0.8454909819639278,19581.60271562844,44972.35583816113,409049.94402094505,939450.1515142933
0.8503006012024048,19544.61258699909,44887.40195305904,408277.2386267596,937675.5070967736
0.8551102204408817,19507.900384879955,44803.08637167987,407510.338979177,935914.1965266377
0.8599198396793587,19471.462475375254,44719.40074818714,406749.1691679215,934166.0454635107
0.8647294589178356,19435.295292087194,44636.33689176458,405993.65469271614,932430.8828053133
0.8695390781563126,19399.395334495108,44553.88676289349,405243.72242942505,930708.5406104982
0.8743486973947895,19363.759166382337,44472.042469739856,404499.3005971909,928998.8540225755
0.8791583166332665,19328.38341430891,44390.796264646575,403760.3187265299,927301.6611968427
0.8839679358717434,19293.264766128803,44310.14054072821,403026.7076283588,925616.8032292441
0.8887775551102204,19258.399969549973,44230.06782856369,402298.39936391363,923944.1240872884
0.8935871743486974,19223.78583073582,44150.5707929845,401575.32721553626,922283.4705429521
0.8983967935871743,19189.419212946665,44071.64222995456,400857.42565829423,920634.6921075028
