Liquid_Filling,Geometric_AR,Thermal_AR,BOR
0.08750000000000001,0.37316582914572866,0.8429516643025295,0.021250626558199093
0.08750000000000001,0.37814070351758794,0.8446908245874745,0.02130017730775613
0.08750000000000001,0.3831155778894472,0.8463917916616237,0.021349672630119443
0.08750000000000001,0.38809045226130656,0.84805581092411,0.021399105644086758
0.08750000000000001,0.39306532663316585,0.8496840741892993,0.021448469974092665
0.08750000000000001,0.39804020100502513,0.851277722538763,0.02149775971446055
0.08750000000000001,0.4030150753768844,0.8528378489929852,0.02154696939645384
0.08750000000000001,0.40798994974874375,0.8543655010159628,0.021596093957853002
0.08750000000000001,0.41296482412060304,0.8558616828647646,0.021645128714870898
0.08750000000000001,0.4179396984924623,0.8573273577951387,0.021694069336185784
0.08750000000000001,0.4229145728643216,0.8587634501333499,0.02174291181891963
0.08750000000000001,0.4278894472361809,0.860170847223624,0.021791652466400357
0.08750000000000001,0.4328643216080402,0.8615504012598227,0.021840287867563646
0.08750000000000001,0.4378391959798995,0.8629029310093046,0.021888814877849994
0.08750000000000001,0.4428140703517588,0.8642292234363015,0.02193723060148689
0.08750000000000001,0.4477889447236181,0.8655300352315815,0.021985532375034422
0.08750000000000001,0.4527638190954774,0.8668060942546497,0.022033717752106163
0.08750000000000001,0.4577386934673367,0.8680581008942665,0.0220817844891672
0.08750000000000001,0.462713567839196,0.8692867293526316,0.022129730532306713
0.08750000000000001,0.46768844221105527,0.8704926288581847,0.022177554004956246
0.08750000000000001,0.4726633165829146,0.8716764248116096,0.022225253196424877
0.08750000000000001,0.4776381909547739,0.8728387198692963,0.02227282655123486
0.08750000000000001,0.4826130653266332,0.8739800949682076,0.022320272659165807
0.08750000000000001,0.48758793969849246,0.875101110295813,0.022367590245979896
0.08750000000000001,0.49256281407035174,0.8762023062084981,0.022414778164762117
0.08750000000000001,0.4975376884422111,0.8772842041016131,0.022461835387823426
0.08750000000000001,0.5025125628140703,0.8783473072341048,0.022508760999156774
0.08750000000000001,0.5074874371859297,0.8793921015104783,0.022555554187366544
0.08750000000000001,0.512462311557789,0.8804190562226385,0.02260221423906894
0.08750000000000001,0.5174371859296483,0.8814286247539961,0.022648740532712708
0.08750000000000001,0.5224120603015076,0.8824212452480558,0.022695132532799533
0.08750000000000001,0.5273869346733668,0.8833973412435636,0.02274138978446838
0.08750000000000001,0.5323618090452261,0.8843573222781449,0.02278751190842221
0.08750000000000001,0.5373366834170854,0.8853015844622449,0.022833498596183777
0.08750000000000001,0.5423115577889447,0.8862305110250621,0.022879349605629873
0.08750000000000001,0.5472864321608041,0.8871444728340543,0.02292506475682221
0.08750000000000001,0.5522613065326634,0.8880438288895005,0.022970643928085677
0.08750000000000001,0.5572361809045226,0.8889289267955048,0.023016087052327716
0.08750000000000001,0.5622110552763819,0.8898001032087398,0.023061394113590206
0.08750000000000001,0.5671859296482412,0.890657684266148,0.023106565143801383
0.08750000000000001,0.5721608040201005,0.8915019859927444,0.023151600219734947
0.08750000000000001,0.5771356783919598,0.8923333146905911,0.02319649946014679
0.08750000000000001,0.5821105527638191,0.8931519673099545,0.02324126302308116
0.08750000000000001,0.5870854271356784,0.8939582318035816,0.023285891103344225
0.08750000000000001,0.5920603015075377,0.8947523874649912,0.023330383930124876
0.08750000000000001,0.597035175879397,0.8955347052516149,0.023374741764757845
0.08750000000000001,0.6020100502512563,0.8963054480935723,0.023418964898616945
0.08750000000000001,0.6069849246231156,0.8970648711888191,0.023463053651131105
0.08750000000000001,0.6119597989949749,0.8978132222853668,0.023507008367926074
0.08750000000000001,0.6169346733668342,0.898550741951229,0.023550829419059838
0.08750000000000001,0.6219095477386934,0.8992776638327125,0.023594517197372378
0.08750000000000001,0.6268844221105527,0.8999942149016356,0.02363807211693003
0.08750000000000001,0.6318592964824121,0.9007006156920262,0.02368149461155178
0.08750000000000001,0.6368341708542714,0.9013970805268142,0.02372478513342946
0.08750000000000001,0.6418090452261307,0.9020838177350117,0.02376794415182637
0.08750000000000001,0.64678391959799,0.9027610298598423,0.02381097215184491
0.08750000000000001,0.6517587939698493,0.9034289138582565,0.02385386963326841
0.08750000000000001,0.6567336683417085,0.9040876612922454,0.023896637109473096
0.08750000000000001,0.6617085427135678,0.9047374585123458,0.02393927510639715
0.08750000000000001,0.6666834170854271,0.905378486833704,0.023981784161566377
0.08750000000000001,0.6716582914572864,0.9060109227050485,0.024024164823182037
0.08750000000000001,0.6766331658291458,0.9066349378709031,0.024066417649257987
0.08750000000000001,0.6816080402010051,0.907250699527353,0.02410854320680511
0.08750000000000001,0.6865829145728644,0.9078583704716626,0.024150542071061487
0.08750000000000001,0.6915577889447236,0.9084581092460233,0.02419241482476986
0.08750000000000001,0.6965326633165829,0.909050070275702,0.0242341620574944
0.08750000000000001,0.7015075376884422,0.9096344040018393,0.024275784364977238
0.08750000000000001,0.7064824120603015,0.9102112570091418,0.02431728234852293
0.08750000000000001,0.7114572864321608,0.910780772148692,0.024358656614436924
0.08750000000000001,0.7164321608040201,0.9113430886560943,0.024399907773473783
0.08750000000000001,0.7214070351758795,0.911898342265163,0.024441036440331798
0.08750000000000001,0.7263819095477387,0.912446665317347,0.024482043233173156
0.08750000000000001,0.731356783919598,0.912988186867074,0.024522928773166086
0.08750000000000001,0.7363316582914573,0.9135230327831957,0.024563693684059862
0.08750000000000001,0.7413065326633166,0.9140513258466959,0.024604338591782016
0.08750000000000001,0.7462814070351759,0.9145731858448258,0.024644864124051535
0.08750000000000001,0.7512562814070352,0.915088729661814,0.024685270910032475
0.08750000000000001,0.7562311557788944,0.9155980713662998,0.0247255595799869
0.08750000000000001,0.7612060301507538,0.9161013222956228,0.024765730764956917
0.08750000000000001,0.7661809045226131,0.9165985911371041,0.024805785096470245
0.08750000000000001,0.7711557788944724,0.9170899840064393,0.024845723206254666
0.08750000000000001,0.7761306532663317,0.9175756045233275,0.024885545725973568
0.08750000000000001,0.781105527638191,0.9180555538844444,0.0249252532869757
0.08750000000000001,0.7860804020100502,0.918529930933869,0.024964846520059147
0.08750000000000001,0.7910552763819095,0.9189988322310717,0.02500432605525149
0.08750000000000001,0.7960301507537688,0.9194623521165528,0.025043692521603322
0.08750000000000001,0.8010050251256281,0.9199205827752339,0.025082946546988616
0.08750000000000001,0.8059798994974875,0.9203736142976878,0.025122088757929095
0.08750000000000001,0.8109547738693468,0.920821534739292,0.02516111977940927
0.08750000000000001,0.8159296482412061,0.9212644301773878,0.025200040234731658
0.08750000000000001,0.8209045226130653,0.9217023847665252,0.025238850745353147
0.08750000000000001,0.8258793969849246,0.9221354807918646,0.025277551930746878
0.08750000000000001,0.8308542713567839,0.9225637987208095,0.02531614440827279
0.08750000000000001,0.8358291457286432,0.9229874172529366,0.025354628793045952
0.08750000000000001,0.8408040201005025,0.9234064133682883,0.02539300569783043
0.08750000000000001,0.8457788944723619,0.9238208623740918,0.025431275732923808
0.08750000000000001,0.8507537688442212,0.9242308379499615,0.02546943950605951
0.08750000000000001,0.8557286432160804,0.9246364121916444,0.025507497622310638
0.08750000000000001,0.8607035175879397,0.9250376556533618,0.025545450684004933
0.08750000000000001,0.865678391959799,0.9254346373887994,0.025583299290643957
0.08750000000000001,0.8706532663316583,0.9258274249907964,0.02562104403882337
0.08750000000000001,0.8756281407035176,0.9262160846297812,0.025658685522168545
0.08750000000000001,0.8806030150753769,0.9266006810909995,0.02569622433126617
